Which of the music on the epic 1982 album “Thriller” was recorded by members of what 80s group?	TOTO
A rare example of a word that rhymes with orange, Blorenge is a what?	0
In one of the shortest Oscar speeches on record, what stunned actor merely said, “It’s my privilege, thank you.”	JOE PESCI
Dim sum, a meal of varied dishes originating in Chinese, translates loosely into English as “a little bit of” what?	HEART
Baby Ruth’s creator claimed his candy bar was named not for a ball player, but for what President’s daughter?	GROVER CLEVELAND
Henry James famously remarked that “the two most beautiful words in the English language” are what?	SUMMER AFTERNOON
While the winner of the Kentucky derby is draped in red roses, the Belmont stakes winner receives a garland of what?	WHITE CARNATIONS
The inscription “Pass and Stow,” appears on which of these US landmarks?	LIBERTY BELL
The “Pua alohalo” is Hawaii’s official state what?	FLOWER
What song’s famous melody was written in 1893 by sisters Patty and Mildred Hill?	HAPPY BIRTHDAY TO YOU
Under President Ford, 34 year old Dick Cheney became the youngest man to hold what position?	WHITE HOUSE CHIEF OF STAFF
With perhaps most churches per capita in the U.S., what city is known as the “Protestant Vatican?”	NASHVILLE
What extremely tall author once used the pen name John Lange, a German surnamed meaning “long?”	MICHAEL CRICHTON
Born with the less cool-sounding name Walter, which of these actors prefers to go by his middle name?	BRUCE WILLIS
In Egyptian mythology, a criosphinx is a figure that has the body of a lion and the head of a what?	RAM
The first X-ray photograph taken of the human body was an image of the hand of what scientist’s wife?	WILHEM ROENTGEN
Aristotle wrote that what animal, though immune from other illnesses, is occasionally subject to “flatulency”?	ELEPHANT
If you suffer from sideromophobia, which of these company’s vehicles would scare you the most?	AMTRACK
According to the Population Reference Bureau, about how many people have ever lived on earth?	100 BILLION
Since 1978, “Yankee Doodle” has been the official has been the official song of what U.S. state?	Connecticut
Which of these words meaning “disaster” is also the name of a straw-colored wine often used for chianti?	FIASCO
Played at Wimbledon in 2010, the longest match in tennis history lasted how long?	11 HOURS, 5 MIN
What is the first name of blues guitar legend B.B. King?	RILEY
Which of these countries remained officially neutral during both WWI and WWII?	SWEDEN
The highest point on earth, Mt Everest’s peak lies approximately how many feet above sea level?	5.5 (CORRECT)
In “E.T., The Extra-Terrestrial,” the mischievous alien gets snockered drinking what brand of beer?	COORS
According to legend, what historical figure died of a nosebleed on his wedding night?	ATTILA THE HUN
For the 2005 film “Guess Who?” a reported 100,000 dollars was spent to digitally remove Ashton Kucher’s what?	KABBALAH BRACELET
What is the actual line of dialogue in “Casablanca”that is often misquoted as “Play it again, Sam”?	“PLAY IT, SAM.”
In Slumdog Millionaire, Jamal wins the 20 million rupees top prize, which is how much in US dollars at the film’s debut?	405,000 *CORRECT*
A 2010 study by IBM on “commuter pain” revealed which of these cities has the most painful commute?	BEIJING
George Washington had numerous pets and dogs, including two not-presidential names?	DRUNKARD AND TIPSEY
Coined in recent years, the term “ludology” often refers to the academic study of what?	VIDEO GAMES
Thanks to its surging high-tech sector, what city did Forbes rank as “America’s Most Wired” in 2010?	RALEIGH, NC
“Roux-en-Y” is a common type of surgery primarily aimed at achieving what result?	WEIGHT LOSS
If you say, “It’s the greatest thing since sliced bread,” you are paying a compliment to whose invention?	OTTO ROHWEDDER
In “Good Will Hunting,” Will first solves a difficult equation attributed to what mathematician?	JOSEPH FOURIER
Poison ivy belongs to a diverse botanical family that also includes the cashew and what tropical fruit?	MANGO
The title of the 2009 film “Drive Angry 3D” is taken from “Don’t Drive Angry!,” a line Bill Murray says in what movie?	GROUNDHOG DAY
Before a British family adopted him, kids lit Paddington Bear lived in Peru and had what name?	PASTUSO
Which of these ancient Greek philosophers first wrote about the lost civilization of Atlantis?	PLATO
Common on American Idol, a “run,” or singing one syllable across many notes, has what technical term?	MELISMA
What poker hand is known as “Dead Man’s Hand?”	TWO ACES AND TWO EIGHTS
The Leaning Tower of Pisa leans in what direction?	SOUTH
The word “school” is derived from a Greek word that had what original meaning?	LEISURE
Prized for their distinctive flavor, vanilla beans are the fruit of a rare type of what flower?	ORCHIDS
According to Crayola, which of these products will help remove crayon stains from washable clothing?	WD-40 *CORRECT*
Which one of these events happened in the 80s and not the 70s?	SALLY RIDE GOES TO SPACE
By definition, an ecdysiast has what unusual job?	EXOTIC DANCER
During their historic first flight at Kitty Hawk, the Wright brothers’ plane traveled about how far?	120 FEET
Despite their similar names, John Luther Adams and John Coolidge Adams are two very different modern what?	COMPOSERS
Which of these famous Americans was a founding member of the ACLU?	HELEN KELLER
Which of these Olympic events would most likely be performed by a toxophilite?	ARCHERY
Founded in 1964, the restaurant Benihana takes its name from a Japanese phrase meaning what?	RED FLOWER
To maximize his time, what famous thinker allegedly only took short naps throughout each 24-hour period?	LEONARDO DA VINCI
Known for his reckless spending, what movie star once paid $276,000 for a dinosaur skull?	NICHOLAS CAGE
In which of these countries do motorists usually drive on the right-hand side of the street?	BRAZIL
On Sesame Street, the feathers on the big bird costume, excluding the tail, are from what bird?	TURKEY
In Stephen Spielburg’s 1982 classic, E.T. watches a love scene from what film?	THE QUIET MAN
What explorer, who landed on the Australian coast in 1770, was the first to record the word “kangaroo”?	JAMES COOK
The mascot of Columbian coffee growers, and icon Juan Valdez is flanked by a trusty mule named what?	CONCHITA
In Cervantes, “Don Quixote” becomes delusional after doing what?	READING TOO MANY BOOKS
“Tarzan” means what in ape language?	WHITE SKIN
In which movie does Arnold Schwarzneggar not repeat his Terminator catchphrase “I’ll be back”?	PREDATOR
What country’s capital city has a name that means “capital” in its native tongue?	SOUTH KOREA
In the popular folk song, “Alouette,” what type of bird is being prepared for a meal?	LARK
During the Titanic disaster, what nearby ship was accused of ignoring its distress signals?	CALIFORNIAN
Issued in 1787, the U.S. government’s first official coin was a penny featuring which of these mottos?	MIND YOUR BUSINESS
The children’s modeling clay Play-Doh was originally invented in 1933 for use as a what?	WALLPAPER CLEANER
In 1944, frustrated Congressman Maury Maverick coined what word for Washington jargon?	GOBBLEDYGOOK
In “The Shankshaw Redemption,” Andy Dufresne is punished for playing what opera on the prison loudspeakers?	THE MARRIAGE OF FIGARO
Like Barack Obama, which of these U.S. presidents penned a #1 NY Times bestseller before taking office?	DWIGHT D. EISENHAUER
Which First Lady was a ninth-generation descendant of Pocahantas?	EDITH WILSON
The Sony Walkman was originally marketed in the U.S. under what name?	SOUNDABOUT
What is the International radio signal for an emergency not quite as severe as “Mayday”?	PAN-PAN
Which author’s first and only novel was awarded the Pulitzer Prize in fiction?	HARPER LEE
Which of these common foods was unknown in Europe prior to the discovery of the New World?	POTATOES
What age was Rosa Parks when she refused to give up her seat on the bus in 1955?	42 *CORRECT*
What is the only country in the world in which the head of state is a grand duke?	LUXEMBOURG
What real U.S. politician tells the Joker “We’re not intimidated by thugs,” in the movie “The Dark Knight”?	PATRICK LEAHY
Which of these states has never had a governor who later became a U.S. president?	ILLINOIS
Produced by Thomas Edison, the earliest surviving copyrighted movie depicts a man doing what?	SNEEZING
The symbol for a popular Japanese beer, the kirin closely resembles what mythical creature?	UNICORN
Huge in the 1700s, what wine was used to toast the signing of the Declaration of Independence?	MADEIRA
In Rudyard Kipling’s poem “Gunga Din,” Gunga Din works for the British army as a what?	WATER BOY
In 1939, what car company unveiled the “Hydra-matic Drive,” the first fully automated transmission?	OLDSMOBILE
Named for a Greek word meaning “not intoxicating,” what gem was once thought to prevent drunkenness?	AMETHYST
Which of these celebrities is not a twin?	JESSICA ALBA
What TV couple resided at 623 East 68th Street in New York City?	LUCY AND RICKY RICARDO
Which of these food items was not featured in the first ever Swanson TV dinner?	CHOCOLATE BROWNIE
Which of these ancient Greek philosophers first wrote about the lost colony of Atlantis?	PLATO
What country has the world’s most vending machines per capita, about one for every 23 people?	JAPAN
In the popcorn industry, what term is used to refer to kernels that don’t pop?	OLD MAIDS
What movie icon’s body was buried under six feet of concrete after it was stolen and recovered in 1978?	CHARLIE CHAPLIN
On the human hand, which of these fingernails typically grows the fastest?	THE MIDDLE FINGER NAIL
All but which of these classic sitcoms was based on a similarly successful TV series in England?	TAXI
Forty times longer than the U.S. Constitution, what state’s constitution is the longest in the world?	ALABAMA
Which of these is not a name given by astronomers to a geographical location of the Moon?	OCEAN OF GLASS
Marc Cherry titles most of his “Desperate Housewives” episodes after songs by whom?	STEPHEN SONDHEIM
Later popularized in the Batman comics, “Gotham” was first a NYC term coined by what author?	WASHINGTON IRVING
Which of these 80s movies never spawned an animated television series?	CROCODILE DUNDEE
The only item that William Shakespeare left his wife Anne in his will was his “second-best” what?	BED
In the Rolling Stones iconic “Tongue and Lip Design” logo, how many teeth are visible?	4 *CORRECT*
Every one of Nadya Suleman’s octuplets has what name?	ANGEL
According to the Japanese toy company Sanrio, what is Hello Kitty’s full name?	KITTY WHITE
Named after her father, what best-selling author was born with the unusual name Howard Allen O’Brien?	ANNE RICE
Gangster John Dillinger was shot outside Chicago’s Biograph Theater after watching what film?	MANHATTAN MELODRAMA
Because fast food chains are banned by law there, which of these islands is not home to a McDonald’s?	BERMUDA
Which of these founding fathers was known to be an occasional vegetarian?	BENJAMIN FRANKLIN
While about 90% of the atoms in the universe are hydrogen, the remaining 10% are mostly all what?	HELIUM
In 1962, John Glenn became the first American to eat in space when he ate what food out of a tube?	APPLESAUCE
What great thinker allegedly died from stuffing snow into a chicken for an experiment on refrigeration?	FRANCIS BACON
What state has voted for the winning candidate in 24 of the last 25 presidential elections?	NEVADA
Before becoming a novelist, what man came up with the ad slogan, “I’m a Toys R Us Kid”?	JAMES PATTERSON
What European capital’s airport is named in honor of its famous resident,composer Frederic Chopin?	WARSAW
Celebrated on the first day of May, Primero De Mayo is the Mexican equivalent of what U.S. holiday?	LABOR DAY
In order to win a bet, what historical female once allegedly dissolved a pearl in vinegar and drank it?	CLEOPATRA
“Tik Tok,” a chart-topping hit by Ke$ha, is also the name of a character in the work of what children’s author?	L. FRANK BAUM
What European capital’s airport is named in honor of its famous resident, composer Frederick Chopin?	WARSAW
Before changing it to “Yesterday”,Paul McCartney’s beloved 1965 song originally began with what odd lyric?	SCRAMBLED EGGS
In a landmark 1993 issue of “Superman”,the Man of Steel dies after a titanic battle with what supervillain?	DOOMSDAY
Known for ubiquitous signs and free ice water, Wall Drug is a famously kitschy tourist trap in what state?	SOUTH DAKOTA
Which of these is the name of a bakery that has been an official Girl Scout cookie producer since 1939?	ABC BAKERS
In January 1995, who became the first celebrity to appear in the well-known “Milk-mustache” ad campaign?	NAOMI CAMPBELL
In a landmark 1993 issue of Superman, the Man of Steel dies after a titanic battle with what supervillain?	DOOMSDAY
“You be careful out among them English” is the last line from what film?	WITNESS
Known only by her headgear, what never-identified woman was seen taking pictures at JFK’s fatal motorcade?	BABUSHKA LADY
Which of these novelty items makes use of a technological process called microencapsulation?	SCRATCH AND SNIFF STICKER
